user_id,total_activities,activity_frequency,sensitive_files_accessed,after_hours_access,total_logins,failed_logins,unique_ips,unique_locations,avg_session_duration,std_session_duration,login_to_activity_ratio,risk_score,anomaly_score,risk_level,confidence
USER_0065,42,0.4666666666666667,29,14,14,8,14,3,0.0,0.0,0.3333333333333333,8.675336153020643,0.9315068493150686,Critical,13.698630136986289
USER_0043,41,0.4659090909090909,21,9,21,8,21,3,0.0,0.0,0.5121951219512195,8.175115207373272,1.0,Critical,0.0
USER_0037,50,0.5555555555555556,27,9,11,9,11,3,0.0,0.0,0.22,7.857521621109779,0.7397260273972603,High,52.05479452054793
USER_0034,49,0.6049382716049383,17,6,25,10,25,3,0.0,0.0,0.5102040816326531,7.854554636702229,0.9452054794520548,High,10.95890410958904
USER_0014,40,0.45454545454545453,22,7,15,9,15,3,0.0,0.0,0.375,7.75721229720346,0.8356164383561644,High,32.87671232876712
USER_0088,42,0.4772727272727273,23,12,18,5,18,3,0.0,0.0,0.42857142857142855,7.172968878227384,0.8082191780821918,High,38.35616438356164
USER_0067,49,0.5384615384615384,29,16,17,11,17,3,0.0,0.0,0.3469387755102041,6.364181554194811,0.2465753424657534,High,49.31506849315068
USER_0089,52,0.6190476190476191,12,9,12,5,12,3,0.0,0.0,0.23076923076923078,6.272836310838962,0.8493150684931507,High,30.136986301369852
USER_0032,57,0.6263736263736264,13,7,10,4,10,3,0.0,0.0,0.17543859649122806,6.117164320434315,0.821917808219178,High,35.616438356164394
USER_0062,40,0.45977011494252873,20,9,21,14,21,3,0.0,0.0,0.525,5.976579761378701,0.2602739726027397,Medium,52.054794520547944
USER_0073,43,0.48863636363636365,29,18,14,11,14,3,0.0,0.0,0.32558139534883723,5.871030869263304,0.1232876712328767,Medium,24.65753424657534
USER_0084,58,0.651685393258427,30,17,15,11,15,3,0.0,0.0,0.25862068965517243,5.6390379395240195,0.0410958904109589,Medium,8.21917808219178
USER_0003,51,0.5604395604395604,23,8,18,13,18,3,0.0,0.0,0.35294117647058826,5.630894514235212,0.13698630136986303,Medium,27.397260273972602
USER_0072,54,0.6206896551724138,31,13,13,7,13,3,0.0,0.0,0.24074074074074073,5.602739726027397,0.1506849315068493,Medium,30.136986301369863
USER_0080,35,0.3977272727272727,17,8,14,6,14,3,0.0,0.0,0.4,5.365317846095575,0.4657534246575343,Medium,93.15068493150686
USER_0027,63,0.7325581395348837,28,12,18,10,18,3,0.0,0.0,0.2857142857142857,5.357426930118049,0.05479452054794521,Medium,10.95890410958904
USER_0052,44,0.4888888888888889,27,12,14,10,14,3,0.0,0.0,0.3181818181818182,5.260652736569661,0.05479452054794521,Medium,10.95890410958904
USER_0076,64,0.735632183908046,31,13,8,6,8,3,0.0,0.0,0.125,5.240704500978474,0.09589041095890412,Medium,19.17808219178082
USER_0029,37,0.4111111111111111,22,13,18,9,18,3,0.0,0.0,0.4864864864864865,5.23666435199798,0.2054794520547945,Medium,41.0958904109589
USER_0017,53,0.654320987654321,12,3,9,5,9,3,0.0,0.0,0.16981132075471697,5.176945899880058,0.5753424657534246,Medium,84.93150684931507
USER_0086,43,0.5119047619047619,22,11,21,13,21,3,0.0,0.0,0.4883720930232558,5.15055867685121,0.0410958904109589,Medium,8.21917808219178
USER_0023,51,0.5862068965517241,26,11,18,8,18,3,0.0,0.0,0.35294117647058826,5.097342339498768,0.10958904109589042,Medium,21.91780821917808
USER_0020,53,0.5888888888888889,19,10,25,12,25,3,0.0,0.0,0.4716981132075472,4.991351556088631,0.10958904109589042,Medium,21.91780821917808
