user_id,total_activities,failed_activities,downloads_count,activity_frequency,sensitive_files_accessed,after_hours_access,total_logins,failed_logins,unique_ips,unique_locations,login_hour_mean,login_hour_std,after_hours_login_rate,weekend_login_rate,avg_session_duration,std_session_duration,login_to_activity_ratio,risk_score,anomaly_score,supervised_score,risk_level,confidence
USER_0065,42,14,9,0.4666666666666667,29,14,14,8,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.3333333333333333,9.600896485495857,0.6866469324338722,0.635,Critical,37.32938648677444
USER_0037,50,20,11,0.5555555555555556,27,9,11,9,11,3,18.0,0.0,0.0,0.45454545454545453,0,0,0.22,9.20905542209931,0.6238594776446427,0.605,Critical,24.771895528928532
USER_0014,40,11,9,0.45454545454545453,22,7,15,9,15,3,18.0,0.0,0.0,0.2,0,0,0.375,8.892560277235404,0.6657034333641502,0.605,Critical,33.140686672830036
USER_0088,42,11,13,0.4772727272727273,23,12,18,5,18,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.42857142857142855,8.404232358583075,0.6397850481711144,0.635,Critical,27.957009634222874
USER_0006,50,18,14,0.5747126436781609,20,8,14,11,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.28,8.284406254991207,0.9368734531487235,0.01,Critical,87.3746906297447
USER_0077,53,18,11,0.6162790697674418,23,11,16,7,16,3,18.0,0.0,0.0,0.3125,0,0,0.3018867924528302,8.270806451612902,1.0,0.015,Critical,100.0
USER_0043,41,21,7,0.4659090909090909,21,9,21,8,21,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.5121951219512195,8.150904355524787,0.4651972870378789,0.705,Critical,6.960542592424224
USER_0067,49,16,12,0.5384615384615384,29,16,17,11,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.3469387755102041,8.146023679282226,0.6432858737376072,0.065,Critical,28.65717474752143
USER_0092,47,11,13,0.5164835164835165,21,13,15,10,15,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.3191489361702128,8.114377278686344,0.8571369463996964,0.075,Critical,71.42738927993928
USER_0003,51,21,13,0.5604395604395604,23,8,18,13,18,3,18.0,0.0,0.0,0.2222222222222222,0,0,0.35294117647058826,8.030628775313156,0.6694198666393489,0.09,Critical,33.88397332786979
USER_0072,54,16,11,0.6206896551724138,31,13,13,7,13,3,18.0,0.0,0.0,0.38461538461538464,0,0,0.24074074074074073,8.023672414679988,0.688418103669997,0.09,Critical,37.683620733999405
USER_0069,53,22,14,0.6022727272727273,21,9,16,12,16,3,18.0,0.0,0.0,0.4375,0,0,0.3018867924528302,7.996854054112602,0.7975775688276895,0.02,High,59.5155137655379
USER_0052,44,16,7,0.4888888888888889,27,12,14,10,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.3181818181818182,7.98023808638429,0.7009408580016023,0.045,High,40.188171600320466
USER_0021,53,16,16,0.5955056179775281,23,14,14,10,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.2641509433962264,7.938289767379879,0.8209779717988867,0.0,High,64.19559435977733
USER_0042,42,16,11,0.46153846153846156,23,10,13,7,13,3,18.0,0.0,0.0,0.23076923076923078,0,0,0.30952380952380953,7.916027468908881,0.8775552543239944,0.06,High,75.51105086479888
USER_0055,52,17,17,0.5714285714285714,21,11,17,7,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.3269230769230769,7.805875931098871,0.9321544666456856,0.015,High,86.43089332913712
USER_0019,45,20,11,0.5232558139534884,25,13,12,7,12,3,18.0,0.0,0.0,0.4166666666666667,0,0,0.26666666666666666,7.745388234825631,0.8090083490289883,0.03,High,61.801669805797665
USER_0013,42,19,11,0.4666666666666667,20,11,17,9,17,3,18.0,0.0,0.0,0.35294117647058826,0,0,0.40476190476190477,7.736570241035797,0.8638430210884421,0.02,High,72.76860421768842
USER_0089,52,18,18,0.6190476190476191,12,9,12,5,12,3,18.0,0.0,0.0,0.25,0,0,0.23076923076923078,7.720227913216719,0.7236629690875898,0.65,High,44.73259381751795
USER_0054,42,15,13,0.4666666666666667,20,5,18,10,18,3,18.0,0.0,0.0,0.2777777777777778,0,0,0.42857142857142855,7.690382045900774,0.786581686590401,0.06,High,57.31633731808019
USER_0093,42,19,9,0.4666666666666667,18,9,19,11,19,3,18.0,0.0,0.0,0.3157894736842105,0,0,0.4523809523809524,7.656819576088023,0.6971138801971211,0.185,High,39.422776039424214
USER_0034,49,11,11,0.6049382716049383,17,6,25,10,25,3,18.0,0.0,0.0,0.32,0,0,0.5102040816326531,7.644936769965115,0.3940510127677762,0.665,High,21.189797446444757
USER_0039,54,22,11,0.6067415730337079,19,9,14,7,14,3,18.0,0.0,0.0,0.35714285714285715,0,0,0.25925925925925924,7.641495440429026,0.9244464407524178,0.035,High,84.88928815048355
USER_0064,48,18,14,0.5393258426966292,21,7,20,8,20,3,18.0,0.0,0.0,0.3,0,0,0.4166666666666667,7.610337955439697,0.8100556870166061,0.065,High,62.01113740332123
USER_0011,49,21,15,0.5384615384615384,20,7,13,7,13,3,18.0,0.0,0.0,0.23076923076923078,0,0,0.2653061224489796,7.50722802695695,0.8816860389973018,0.015,High,76.33720779946036
USER_0056,46,15,18,0.5054945054945055,20,9,19,11,19,3,18.0,0.0,0.0,0.21052631578947367,0,0,0.41304347826086957,7.489351241138584,0.7231096996855677,0.03,High,44.62193993711354
USER_0095,45,18,11,0.5,21,10,22,11,22,3,18.0,0.0,0.0,0.36363636363636365,0,0,0.4888888888888889,7.471368126513095,0.6756703726420987,0.055,High,35.134074528419745
USER_0073,43,14,7,0.48863636363636365,29,18,14,11,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.32558139534883723,7.41502819954122,0.4567870038023557,0.07,High,8.64259923952886
USER_0018,48,16,11,0.5333333333333333,17,10,19,8,19,3,18.0,0.0,0.0,0.3684210526315789,0,0,0.3958333333333333,7.414202930095092,0.884046124228842,0.03,High,76.8092248457684
USER_0081,53,18,10,0.6022727272727273,20,14,19,9,19,3,18.0,0.0,0.0,0.3684210526315789,0,0,0.3584905660377358,7.389542962749944,0.788336201516979,0.005,High,57.66724030339581
USER_0078,41,19,12,0.45054945054945056,21,11,16,9,16,3,18.0,0.0,0.0,0.4375,0,0,0.3902439024390244,7.337066339936915,0.7285234974266253,0.035,High,45.70469948532505
USER_0061,54,17,8,0.6067415730337079,19,12,19,12,19,3,18.0,0.0,0.0,0.21052631578947367,0,0,0.35185185185185186,7.323277350772758,0.6775704897669224,0.02,High,35.51409795338447
USER_0098,42,16,16,0.5185185185185185,26,12,11,5,11,3,18.0,0.0,0.0,0.2727272727272727,0,0,0.2619047619047619,7.316111065433431,0.745174079722413,0.035,High,49.0348159444826
USER_0084,58,19,18,0.651685393258427,30,17,15,11,15,3,18.0,0.0,0.0,0.4,0,0,0.25862068965517243,7.309103001140411,0.45861215581505654,0.0,High,8.277568836988692
USER_0049,41,12,8,0.45555555555555555,19,13,16,9,16,3,18.0,0.0,0.0,0.3125,0,0,0.3902439024390244,7.299222271139579,0.7374495770014846,0.075,High,47.48991540029692
USER_0009,44,18,5,0.5238095238095238,21,9,20,9,20,3,18.0,0.0,0.0,0.4,0,0,0.45454545454545453,7.291051560340661,0.6157698025275617,0.17,High,23.15396050551235
USER_0023,51,18,18,0.5862068965517241,26,11,18,8,18,3,18.0,0.0,0.0,0.1111111111111111,0,0,0.35294117647058826,7.270015534380837,0.5852573398164075,0.09,High,17.051467963281496
USER_0027,63,21,11,0.7325581395348837,28,12,18,10,18,3,18.0,0.0,0.0,0.2777777777777778,0,0,0.2857142857142857,7.246091484040862,0.5157106590286489,0.015,High,3.1421318057297754
USER_0086,43,10,9,0.5119047619047619,22,11,21,13,21,3,18.0,0.0,0.0,0.19047619047619047,0,0,0.4883720930232558,7.241276863280669,0.4550254370183236,0.145,High,8.994912596335281
USER_0016,50,14,13,0.5882352941176471,18,9,22,13,22,3,18.0,0.0,0.0,0.4090909090909091,0,0,0.44,7.221118689969499,0.6405100872389187,0.02,High,28.102017447783734
USER_0026,53,22,13,0.6091954022988506,17,9,16,6,16,3,18.0,0.0,0.0,0.375,0,0,0.3018867924528302,7.206451637170398,0.91103687242624,0.02,High,82.207374485248
USER_0030,57,19,12,0.6333333333333333,17,6,15,6,15,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.2631578947368421,7.17740105898411,0.8662742278796678,0.07,High,73.25484557593356
USER_0015,42,8,15,0.4772727272727273,20,7,17,14,17,3,18.0,0.0,0.0,0.23529411764705882,0,0,0.40476190476190477,7.1279010203697,0.5181042873504895,0.04,High,3.6208574700979046
USER_0004,50,12,13,0.5813953488372093,23,9,10,5,10,3,18.0,0.0,0.0,0.2,0,0,0.2,7.097271714298323,0.7555448870999263,0.045,High,51.10897741998526
USER_0062,40,11,10,0.45977011494252873,20,9,21,14,21,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.525,7.064631628093112,0.41603693928134267,0.155,High,16.792612143731468
USER_0085,49,20,13,0.550561797752809,19,8,17,5,17,3,18.0,0.0,0.0,0.4117647058823529,0,0,0.3469387755102041,7.044188456939938,0.8652982663087172,0.01,High,73.05965326174343
USER_0100,58,17,9,0.651685393258427,18,12,20,11,20,3,18.0,0.0,0.0,0.35,0,0,0.3448275862068966,7.027181260028513,0.6747043011822436,0.005,High,34.940860236448714
USER_0022,46,11,10,0.5054945054945055,23,6,13,5,13,3,18.0,0.0,0.0,0.23076923076923078,0,0,0.2826086956521739,7.013896629308479,0.7159511158524653,0.07,High,43.190223170493056
USER_0008,44,14,11,0.4943820224719101,25,14,13,5,13,3,18.0,0.0,0.0,0.46153846153846156,0,0,0.29545454545454547,6.990832685377058,0.7030480330954169,0.015,High,40.60960661908337
USER_0057,47,19,18,0.5465116279069767,19,9,19,8,19,3,18.0,0.0,0.0,0.21052631578947367,0,0,0.40425531914893614,6.952364444659738,0.7239494060958102,0.025,High,44.789881219162034
USER_0044,50,22,15,0.5681818181818182,17,8,16,6,16,3,18.0,0.0,0.0,0.375,0,0,0.32,6.947980916863928,0.8501691923496226,0.015,High,70.03383846992452
USER_0068,45,17,14,0.5,18,6,11,7,11,3,18.0,0.0,0.0,0.18181818181818182,0,0,0.24444444444444444,6.939615223365808,0.7956699348737101,0.005,High,59.133986974742015
USER_0050,41,9,9,0.47126436781609193,19,5,17,9,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.4146341463414634,6.909891806780303,0.6251169609116655,0.095,High,25.023392182333094
USER_0097,49,14,15,0.5384615384615384,24,13,9,5,9,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.1836734693877551,6.881109867063956,0.696060876904238,0.02,High,39.212175380847604
USER_0031,55,19,9,0.6043956043956044,23,9,15,4,15,3,18.0,0.0,0.0,0.2,0,0,0.2727272727272727,6.840966380981296,0.7571828394849552,0.005,High,51.43656789699105
USER_0029,37,12,12,0.4111111111111111,22,13,18,9,18,3,18.0,0.0,0.0,0.2777777777777778,0,0,0.4864864864864865,6.837942188830476,0.5382989112629184,0.09,High,7.65978225258368
USER_0082,50,20,17,0.5681818181818182,17,8,16,10,16,3,18.0,0.0,0.0,0.125,0,0,0.32,6.830012464226128,0.6740699363330296,0.02,High,34.81398726660592
USER_0035,52,16,9,0.5777777777777777,21,15,12,5,12,3,18.0,0.0,0.0,0.4166666666666667,0,0,0.23076923076923078,6.823504361387463,0.7504901456464046,0.025,High,50.09802912928092
USER_0032,57,22,14,0.6263736263736264,13,7,10,4,10,3,18.0,0.0,0.0,0.1,0,0,0.17543859649122806,6.776193615311185,0.5066751319383955,0.64,High,1.3350263876791058
