user_id,total_activities,failed_activities,downloads_count,activity_frequency,sensitive_files_accessed,after_hours_access,total_logins,failed_logins,unique_ips,unique_locations,login_hour_mean,login_hour_std,after_hours_login_rate,weekend_login_rate,avg_session_duration,std_session_duration,login_to_activity_ratio,risk_score,anomaly_score,supervised_score,risk_level,confidence
USER_0014,40,11,9,0.45454545454545453,22,7,15,9,15,3,18.0,0.0,0.0,0.2,0,0,0.375,10.0,0.8458153029263519,1.0,Critical,69.16306058527037
USER_0065,42,14,9,0.4666666666666667,29,14,14,8,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.3333333333333333,10.0,0.8180451746829305,1.0,Critical,63.6090349365861
USER_0043,41,21,7,0.4659090909090909,21,9,21,8,21,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.5121951219512195,10.0,0.7416889880768938,1.0,Critical,48.337797615378754
USER_0037,50,20,11,0.5555555555555556,27,9,11,9,11,3,18.0,0.0,0.0,0.45454545454545453,0,0,0.22,10.0,0.8307835424324372,1.0,Critical,66.15670848648745
USER_0088,42,11,13,0.4772727272727273,23,12,18,5,18,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.42857142857142855,10.0,0.7763182624688939,1.0,Critical,55.26365249377878
USER_0034,49,11,11,0.6049382716049383,17,6,25,10,25,3,18.0,0.0,0.0,0.32,0,0,0.5102040816326531,9.769098673435115,0.6738414886352764,1.0,Critical,34.76829772705528
USER_0089,52,18,18,0.6190476190476191,12,9,12,5,12,3,18.0,0.0,0.0,0.25,0,0,0.23076923076923078,9.102370505256966,0.8066986170976513,1.0,Critical,61.339723419530266
USER_0032,57,22,14,0.6263736263736264,13,7,10,4,10,3,18.0,0.0,0.0,0.1,0,0,0.17543859649122806,8.665591375205043,0.70902457191186,1.0,Critical,41.80491438237199
USER_0067,49,16,12,0.5384615384615384,29,16,17,11,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.3469387755102041,8.185581367382742,0.6081752957627364,0.125,Critical,21.635059152547285
USER_0077,53,18,11,0.6162790697674418,23,11,16,7,16,3,18.0,0.0,0.0,0.3125,0,0,0.3018867924528302,8.13642673653459,0.9701550712304217,0.01,Critical,94.03101424608434
USER_0072,54,16,11,0.6206896551724138,31,13,13,7,13,3,18.0,0.0,0.0,0.38461538461538464,0,0,0.24074074074074073,8.126569525742642,0.6578923814356608,0.165,Critical,31.57847628713215
USER_0042,42,16,11,0.46153846153846156,23,10,13,7,13,3,18.0,0.0,0.0,0.23076923076923078,0,0,0.30952380952380953,8.11117928604698,0.8663432086085192,0.14,Critical,73.26864172170384
USER_0003,51,21,13,0.5604395604395604,23,8,18,13,18,3,18.0,0.0,0.0,0.2222222222222222,0,0,0.35294117647058826,8.093319791476002,0.6663426206800606,0.115,Critical,33.26852413601211
USER_0006,50,18,14,0.5747126436781609,20,8,14,11,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.28,8.065915195792279,0.8822506883489912,0.01,Critical,76.45013766979825
USER_0069,53,22,14,0.6022727272727273,21,9,16,12,16,3,18.0,0.0,0.0,0.4375,0,0,0.3018867924528302,7.977935853267694,0.7778480186164625,0.04,High,55.569603723292495
USER_0052,44,16,7,0.4888888888888889,27,12,14,10,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.3181818181818182,7.925649640681292,0.672293746575853,0.065,High,34.45874931517059
USER_0092,47,11,13,0.5164835164835165,21,13,15,10,15,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.3191489361702128,7.8871336072586935,0.7890760285427838,0.09,High,57.81520570855676
USER_0013,42,19,11,0.4666666666666667,20,11,17,9,17,3,18.0,0.0,0.0,0.35294117647058826,0,0,0.40476190476190477,7.876877376248683,0.8689198048916639,0.06,High,73.78396097833277
USER_0086,43,10,9,0.5119047619047619,22,11,21,13,21,3,18.0,0.0,0.0,0.19047619047619047,0,0,0.4883720930232558,7.801406206459021,0.4863077728129115,0.29,High,2.7384454374177025
