user_id,total_activities,failed_activities,downloads_count,activity_frequency,sensitive_files_accessed,after_hours_access,total_logins,failed_logins,unique_ips,unique_locations,login_hour_mean,login_hour_std,after_hours_login_rate,weekend_login_rate,avg_session_duration,std_session_duration,login_to_activity_ratio,risk_score,anomaly_score,supervised_score,risk_level,confidence
USER_0014,40,11,9,0.45454545454545453,22,7,15,9,15,3,18.0,0.0,0.0,0.2,0,0,0.375,10.0,0.8462920117160633,1.0,Critical,69.25840234321265
USER_0065,42,14,9,0.4666666666666667,29,14,14,8,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.3333333333333333,10.0,0.8000364414441161,1.0,Critical,60.007288288823226
USER_0043,41,21,7,0.4659090909090909,21,9,21,8,21,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.5121951219512195,10.0,0.7551446978034689,1.0,Critical,51.028939560693786
USER_0037,50,20,11,0.5555555555555556,27,9,11,9,11,3,18.0,0.0,0.0,0.45454545454545453,0,0,0.22,10.0,0.7978925600219626,1.0,Critical,59.57851200439252
USER_0088,42,11,13,0.4772727272727273,23,12,18,5,18,3,18.0,0.0,0.0,0.3333333333333333,0,0,0.42857142857142855,9.986403042958603,0.7615777192649964,1.0,Critical,52.315543852999284
USER_0034,49,11,11,0.6049382716049383,17,6,25,10,25,3,18.0,0.0,0.0,0.32,0,0,0.5102040816326531,9.460829428464892,0.5967741773927209,1.0,Critical,19.354835478544175
USER_0089,52,18,18,0.6190476190476191,12,9,12,5,12,3,18.0,0.0,0.0,0.25,0,0,0.23076923076923078,9.345081761035493,0.8673764310422833,1.0,Critical,73.47528620845667
USER_0032,57,22,14,0.6263736263736264,13,7,10,4,10,3,18.0,0.0,0.0,0.1,0,0,0.17543859649122806,8.909201278790842,0.7699270478083097,1.0,Critical,53.98540956166193
USER_0077,53,18,11,0.6162790697674418,23,11,16,7,16,3,18.0,0.0,0.0,0.3125,0,0,0.3018867924528302,8.110882524831158,0.9712690183045639,0.0,Critical,94.25380366091278
USER_0006,50,18,14,0.5747126436781609,20,8,14,11,14,3,18.0,0.0,0.0,0.2857142857142857,0,0,0.28,8.03789577937038,0.8827458342435168,0.0,Critical,76.54916684870336
USER_0069,53,22,14,0.6022727272727273,21,9,16,12,16,3,18.0,0.0,0.0,0.4375,0,0,0.3018867924528302,7.8485195087209965,0.7754939324797883,0.0,High,55.098786495957654
USER_0067,49,16,12,0.5384615384615384,29,16,17,11,17,3,18.0,0.0,0.0,0.29411764705882354,0,0,0.3469387755102041,7.793884008770054,0.6040009561095643,0.0,High,20.800191221912854
USER_0003,51,21,13,0.5604395604395604,23,8,18,13,18,3,18.0,0.0,0.0,0.2222222222222222,0,0,0.35294117647058826,7.73942774527527,0.6641196091298773,0.0,High,32.82392182597547
USER_0052,44,16,7,0.4888888888888889,27,12,14,10,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.3181818181818182,7.722726126464629,0.670312868021687,0.0,High,34.0625736043374
USER_0021,53,16,16,0.5955056179775281,23,14,14,10,14,3,18.0,0.0,0.0,0.21428571428571427,0,0,0.2641509433962264,7.709370271814796,0.7637480979076161,0.0,High,52.74961958152322
