threshold,precision,recall,f1,alerts,avg_score_alerts,precision_at_10
0.0,0.1,1.0,0.18181818181818182,20,0.06485610405604043,0.2
0.01,0.25,1.0,0.4,8,0.1621402601401011,0.2
0.02,0.25,1.0,0.4,8,0.1621402601401011,0.2
0.03,0.3333333333333333,1.0,0.5,6,0.20744105345673028,0.2
0.04,0.3333333333333333,1.0,0.5,6,0.20744105345673028,0.2
0.05,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.06,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.07,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.08,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.09,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.1,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.11,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.12,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.13,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.14,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.15,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.16,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.17,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.18,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.19,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.2,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.21,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.22,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.23,0.5,0.5,0.5,2,0.5276785790920258,0.2
0.24,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.25,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.26,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.27,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.28,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.29,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.3,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.31,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.32,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.33,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.34,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.35000000000000003,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.36,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.37,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.38,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.39,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.4,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.41000000000000003,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.42,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.43,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.44,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.45,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.46,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.47000000000000003,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.48,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.49,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.5,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.51,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.52,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.53,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.54,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.55,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.56,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.5700000000000001,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.58,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.59,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.6,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.61,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.62,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.63,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.64,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.65,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.66,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.67,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.68,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.6900000000000001,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.7000000000000001,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.71,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.72,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.73,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.74,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.75,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
0.76,1.0,0.5,0.6666666666666666,1,0.8172619144121805,0.2
